"Study_No" "No of arms" "Study_year" "Drug" "Dose_range" "No_randomised" "Responders" "Dropouts_total" "Dropouts_sideeffects" "N compimputed" "Mean" "SD" "hayasaka_ddd" "ddd" "jakubovski_ddd" "Dose_delivered_mean" "type" "logRR" "selogRR" "logRRdrop" "selogRRdrop" "logRRdropAE" "selogRRdropAE" "exc" "excdrop" "excdropAE"
"18" 7 3 2002 "fluoxetine" "Licensed" 148 89 17 7 146 12.5 7.4 20 20 20 20 "cc" 0 NA 0 NA 0 NA FALSE FALSE FALSE
"17" 7 3 2002 "agomelatine" "Licensed" 301 175 54 10 295 12.7 8.2 28.5 30.4 30.4 38 "cc" -0.0337483867933863 0.082892851787691 0.445872711523298 0.259351175122292 -0.353223047046028 0.482470856077518 FALSE FALSE FALSE
"42" 19 2 2004 "agomelatine" "Licensed" 165 126 16 7 165 9.9 6.6 37.5 40 40 50 "cc" 0 NA 0 NA 0 NA FALSE FALSE FALSE
"43" 19 2 2004 "venlafaxine" "Licensed" 167 115 36 22 167 11 8.2 40.5 30 30 150 "cc" -0.103398117104403 0.0677017732243337 0.798881877700154 0.279694740324297 1.13308396578683 0.419836942513384 FALSE FALSE FALSE
"174" 78 3 1985 "bupropion" "Licensed" 45 17 22 4 34 16.1 7.9 33 20.1 20.1 300 "cc" 0 NA 0 NA 0 NA FALSE FALSE FALSE
"175" 78 3 1985 "bupropion" "Licensed" 40 21 24 7 36 15.1 10.5 49.5 30.15 30.15 450 "cc" 0.32909212932359 0.243352326491016 0.204794412646013 0.199747315123358 0.677398823591806 0.58790723812088 FALSE FALSE FALSE
"178" 79 5 1993 "bupropion" "Low" 120 45 42 9 114 -9.6 8.01 22 13.4 13.4 200 "cc" 0 NA 0 NA 0 NA FALSE FALSE FALSE
"179" 79 5 1993 "bupropion" "Licensed" 120 43 51 13 111 -9 8.38 33 20.1 20.1 300 "cc" -0.0454623740767573 0.169739121916675 0.194156014440958 0.16355641314272 0.367724780125318 0.413965604087491 FALSE FALSE FALSE
"180" 79 5 1993 "bupropion" "Licensed" 119 47 43 12 111 -9.3 7.25 44 26.8 26.8 400 "cc" 0.0518533616102555 0.163591330115724 0.0318987470807108 0.174151207532825 0.296050322122298 0.421553970170574 FALSE FALSE FALSE
"186" 81 2 2001 "paroxetine" "Licensed" 71 36 18 5 66 10.3 7.3 23.6 20 20 20 "cc" 0 NA 0 NA 0 NA FALSE FALSE FALSE
"185" 81 2 2001 "bupropion" "Licensed" 69 35 14 8 66 10.4 6.8 33 20.1 20.1 300 "cc" 0.000402495477359719 0.166649169466171 -0.22274105583685 0.313698687148488 0.498577001689792 0.544447186910317 FALSE FALSE FALSE
"194" 85 3 NA "citalopram" "Licensed" 88 48 23 NA 88 -17.94 12.91 20 20 1.2 20 "cc" 0 NA 0 NA 0 NA FALSE FALSE TRUE
"195" 85 3 NA "citalopram" "Licensed" 97 50 23 NA 97 -16.04 13.53 40 40 2.4 40 "cc" -0.0565521695049212 0.138421163913549 -0.0973741640251764 0.255506569436049 NA NA FALSE FALSE TRUE
